date,dam,level_m,capacity_m3,api_date,level_raw,capacity_raw
2026-06-09,Capaccio,146.25,15352950,09/06/2026,"146,25",15.352.950
2026-06-09,Capacciotti,188.5,40570900,09/06/2026,"188,50",40.570.900
2026-06-09,Occhito,192.36,210435160,09/06/2026,"192,36",210.435.160
2026-06-09,Osento,458.2,12720000,09/06/2026,"458,20",12.720.000
