date,dam,precipitation_mm
2019-07-19,Occhito,0.0
2019-07-20,Occhito,0.0
2019-07-21,Occhito,0.0
2019-07-22,Occhito,0.0
2019-07-23,Occhito,0.0
2019-07-24,Occhito,0.0
2019-07-25,Occhito,0.0
2019-07-26,Occhito,0.0
2019-07-27,Occhito,0.0
2019-07-28,Occhito,1.2
2019-07-29,Occhito,3.2
2019-07-30,Occhito,0.3
2019-07-31,Occhito,0.0
2019-08-01,Occhito,0.0
2019-08-02,Occhito,0.2
2019-08-03,Occhito,1.8
2019-08-04,Occhito,0.0
2019-08-05,Occhito,0.0
2019-08-06,Occhito,0.0
2019-08-07,Occhito,0.0
2019-08-08,Occhito,0.0
2019-08-09,Occhito,0.1
2019-08-10,Occhito,0.0
2019-08-11,Occhito,0.0
2019-08-12,Occhito,0.0
2019-08-13,Occhito,0.0
2019-08-14,Occhito,3.7
2019-08-15,Occhito,0.0
2019-08-16,Occhito,0.0
2019-08-17,Occhito,0.0
2019-08-18,Occhito,0.0
2019-08-19,Occhito,0.0
2019-08-20,Occhito,0.0
2019-08-21,Occhito,0.0
2019-08-22,Occhito,0.0
2019-08-23,Occhito,2.0
2019-08-24,Occhito,0.2
2019-08-25,Occhito,0.6
2019-08-26,Occhito,1.1
2019-08-27,Occhito,0.0
2019-08-28,Occhito,0.0
2019-08-29,Occhito,0.0
2019-08-30,Occhito,0.0
2019-08-31,Occhito,0.0
2019-09-01,Occhito,0.6
2019-09-02,Occhito,7.6
2019-09-03,Occhito,74.1
2019-09-04,Occhito,0.0
2019-09-05,Occhito,0.0
2019-09-06,Occhito,2.0
2019-09-07,Occhito,1.0
2019-09-08,Occhito,0.0
2019-09-09,Occhito,0.0
2019-09-10,Occhito,0.0
2019-09-11,Occhito,0.0
2019-09-12,Occhito,0.0
2019-09-13,Occhito,0.0
2019-09-14,Occhito,0.0
2019-09-15,Occhito,0.0
2019-09-16,Occhito,0.0
2019-09-17,Occhito,0.0
2019-09-18,Occhito,1.6
2019-09-19,Occhito,17.0
2019-09-20,Occhito,1.1
2019-09-21,Occhito,0.0
2019-09-22,Occhito,1.3
2019-09-23,Occhito,4.9
2019-09-24,Occhito,1.8
2019-09-25,Occhito,0.6
2019-09-26,Occhito,1.1
2019-09-27,Occhito,0.0
2019-09-28,Occhito,0.0
2019-09-29,Occhito,0.0
2019-09-30,Occhito,0.0
2019-10-01,Occhito,0.0
2019-10-02,Occhito,0.1
2019-10-03,Occhito,17.2
2019-10-04,Occhito,0.0
2019-10-05,Occhito,0.4
2019-10-06,Occhito,1.2
2019-10-07,Occhito,5.5
2019-10-08,Occhito,0.0
2019-10-09,Occhito,0.0
2019-10-10,Occhito,0.0
2019-10-11,Occhito,0.1
2019-10-12,Occhito,0.0
2019-10-13,Occhito,0.0
2019-10-14,Occhito,0.0
2019-10-15,Occhito,0.0
2019-10-16,Occhito,0.0
2019-10-17,Occhito,0.2
2019-10-18,Occhito,0.0
2019-10-19,Occhito,0.0
2019-10-20,Occhito,0.0
2019-10-21,Occhito,0.0
2019-10-22,Occhito,0.0
2019-10-23,Occhito,0.0
2019-10-24,Occhito,0.0
2019-10-25,Occhito,0.6
2019-10-26,Occhito,0.0
2019-10-27,Occhito,0.0
2019-10-28,Occhito,0.0
2019-10-29,Occhito,0.0
2019-10-30,Occhito,0.7
2019-10-31,Occhito,2.1
2019-11-01,Occhito,5.8
2019-11-02,Occhito,0.0
2019-11-03,Occhito,5.0
2019-11-04,Occhito,0.9
2019-11-05,Occhito,1.8
2019-11-06,Occhito,0.9
2019-11-07,Occhito,0.0
2019-11-08,Occhito,0.9
2019-11-09,Occhito,3.6
2019-11-10,Occhito,0.0
2019-11-11,Occhito,0.0
2019-11-12,Occhito,30.1
2019-11-13,Occhito,2.2
2019-11-14,Occhito,0.9
2019-11-15,Occhito,0.1
2019-11-16,Occhito,12.8
2019-11-17,Occhito,13.6
2019-11-18,Occhito,0.0
2019-11-19,Occhito,0.0
2019-11-20,Occhito,0.8
2019-11-21,Occhito,0.0
2019-11-22,Occhito,0.0
2019-11-23,Occhito,0.0
2019-11-24,Occhito,42.8
2019-11-25,Occhito,15.6
2019-11-26,Occhito,0.3
2019-11-27,Occhito,1.8
2019-11-28,Occhito,0.0
2019-11-29,Occhito,0.0
2019-11-30,Occhito,0.9
2019-12-01,Occhito,0.0
2019-12-02,Occhito,1.5
2019-12-03,Occhito,7.1
2019-12-04,Occhito,0.0
2019-12-05,Occhito,0.3
2019-12-06,Occhito,0.5
2019-12-07,Occhito,0.0
2019-12-08,Occhito,0.0
2019-12-09,Occhito,0.0
2019-12-10,Occhito,14.1
2019-12-11,Occhito,0.0
2019-12-12,Occhito,0.2
2019-12-13,Occhito,7.0
2019-12-14,Occhito,2.0
2019-12-15,Occhito,0.0
2019-12-16,Occhito,0.0
2019-12-17,Occhito,0.0
2019-12-18,Occhito,0.0
2019-12-19,Occhito,5.0
2019-12-20,Occhito,0.4
2019-12-21,Occhito,14.7
2019-12-22,Occhito,2.9
2019-12-23,Occhito,0.7
2019-12-24,Occhito,0.1
2019-12-25,Occhito,0.0
2019-12-26,Occhito,0.2
2019-12-27,Occhito,0.0
2019-12-28,Occhito,9.6
2019-12-29,Occhito,3.5
2019-12-30,Occhito,4.6
2019-12-31,Occhito,0.0
2020-01-01,Occhito,0.0
2020-01-02,Occhito,0.0
2020-01-03,Occhito,0.0
2020-01-04,Occhito,0.2
2020-01-05,Occhito,0.4
2020-01-06,Occhito,0.0
2020-01-07,Occhito,0.0
2020-01-08,Occhito,0.0
2020-01-09,Occhito,0.0
2020-01-10,Occhito,0.0
2020-01-11,Occhito,0.0
2020-01-12,Occhito,0.0
2020-01-13,Occhito,0.0
2020-01-14,Occhito,0.0
2020-01-15,Occhito,0.0
2020-01-16,Occhito,0.0
2020-01-17,Occhito,0.0
2020-01-18,Occhito,1.7
2020-01-19,Occhito,0.8
2020-01-20,Occhito,0.0
2020-01-21,Occhito,0.0
2020-01-22,Occhito,0.0
2020-01-23,Occhito,0.0
2020-01-24,Occhito,0.1
2020-01-25,Occhito,0.8
2020-01-26,Occhito,2.8
2020-01-27,Occhito,0.2
2020-01-28,Occhito,0.0
2020-01-29,Occhito,0.0
2020-01-30,Occhito,0.0
2020-01-31,Occhito,0.0
2020-02-01,Occhito,0.0
2020-02-02,Occhito,0.0
2020-02-03,Occhito,0.0
2020-02-04,Occhito,8.6
2020-02-05,Occhito,15.1
2020-02-06,Occhito,0.0
2020-02-07,Occhito,0.0
2020-02-08,Occhito,0.0
2020-02-09,Occhito,0.0
2020-02-10,Occhito,0.0
2020-02-11,Occhito,0.0
2020-02-12,Occhito,0.4
2020-02-13,Occhito,0.0
2020-02-14,Occhito,4.2
2020-02-15,Occhito,0.8
2020-02-16,Occhito,0.0
2020-02-17,Occhito,0.0
2020-02-18,Occhito,0.0
2020-02-19,Occhito,14.1
2020-02-20,Occhito,1.7
2020-02-21,Occhito,0.0
2020-02-22,Occhito,0.0
2020-02-23,Occhito,0.0
2020-02-24,Occhito,0.0
2020-02-25,Occhito,0.0
2020-02-26,Occhito,0.0
2020-02-27,Occhito,0.4
2020-02-28,Occhito,0.3
2020-02-29,Occhito,0.0
2020-03-01,Occhito,1.5
2020-03-02,Occhito,4.5
2020-03-03,Occhito,1.8
2020-03-04,Occhito,0.8
2020-03-05,Occhito,0.0
2020-03-06,Occhito,1.8
2020-03-07,Occhito,3.5
2020-03-08,Occhito,3.4
2020-03-09,Occhito,0.0
2020-03-10,Occhito,0.0
2020-03-11,Occhito,0.0
2020-03-12,Occhito,0.0
2020-03-13,Occhito,0.0
2020-03-14,Occhito,1.1
2020-03-15,Occhito,1.1
2020-03-16,Occhito,0.0
2020-03-17,Occhito,0.0
2020-03-18,Occhito,0.0
2020-03-19,Occhito,0.0
2020-03-20,Occhito,0.0
2020-03-21,Occhito,0.0
2020-03-22,Occhito,1.4
2020-03-23,Occhito,0.2
2020-03-24,Occhito,5.2
2020-03-25,Occhito,8.1
2020-03-26,Occhito,54.7
2020-03-27,Occhito,14.8
2020-03-28,Occhito,6.3
2020-03-29,Occhito,0.6
2020-03-30,Occhito,0.2
2020-03-31,Occhito,4.3
2020-04-01,Occhito,2.9
2020-04-02,Occhito,0.0
2020-04-03,Occhito,0.0
2020-04-04,Occhito,0.0
2020-04-05,Occhito,0.0
2020-04-06,Occhito,0.1
2020-04-07,Occhito,0.0
2020-04-08,Occhito,0.0
2020-04-09,Occhito,0.0
2020-04-10,Occhito,0.0
2020-04-11,Occhito,0.0
2020-04-12,Occhito,0.0
2020-04-13,Occhito,0.0
2020-04-14,Occhito,16.8
2020-04-15,Occhito,1.1
2020-04-16,Occhito,0.0
2020-04-17,Occhito,0.0
2020-04-18,Occhito,0.0
2020-04-19,Occhito,0.2
2020-04-20,Occhito,20.5
2020-04-21,Occhito,21.8
2020-04-22,Occhito,24.5
2020-04-23,Occhito,8.0
2020-04-24,Occhito,0.0
2020-04-25,Occhito,0.0
2020-04-26,Occhito,4.0
2020-04-27,Occhito,0.3
2020-04-28,Occhito,0.5
2020-04-29,Occhito,0.2
2020-04-30,Occhito,0.0
2020-05-01,Occhito,0.1
2020-05-02,Occhito,4.4
2020-05-03,Occhito,7.1
2020-05-04,Occhito,0.0
2020-05-05,Occhito,0.0
2020-05-06,Occhito,2.8
2020-05-07,Occhito,0.1
2020-05-08,Occhito,0.0
2020-05-09,Occhito,0.0
2020-05-10,Occhito,0.6
2020-05-11,Occhito,0.0
2020-05-12,Occhito,0.0
2020-05-13,Occhito,0.0
2020-05-14,Occhito,0.0
2020-05-15,Occhito,0.0
2020-05-16,Occhito,0.0
2020-05-17,Occhito,0.8
2020-05-18,Occhito,0.0
2020-05-19,Occhito,1.1
2020-05-20,Occhito,12.5
2020-05-21,Occhito,7.4
2020-05-22,Occhito,0.0
2020-05-23,Occhito,0.0
2020-05-24,Occhito,0.7
2020-05-25,Occhito,0.0
2020-05-26,Occhito,0.0
2020-05-27,Occhito,3.2
2020-05-28,Occhito,0.0
2020-05-29,Occhito,6.1
2020-05-30,Occhito,19.3
2020-05-31,Occhito,1.5
2020-06-01,Occhito,0.7
2020-06-02,Occhito,0.0
2020-06-03,Occhito,0.1
2020-06-04,Occhito,0.0
2020-06-05,Occhito,18.8
2020-06-06,Occhito,0.2
2020-06-07,Occhito,0.0
2020-06-08,Occhito,0.9
2020-06-09,Occhito,4.8
2020-06-10,Occhito,0.2
2020-06-11,Occhito,0.7
2020-06-12,Occhito,0.0
2020-06-13,Occhito,0.0
2020-06-14,Occhito,0.0
2020-06-15,Occhito,10.5
2020-06-16,Occhito,13.8
2020-06-17,Occhito,0.4
2020-06-18,Occhito,1.3
2020-06-19,Occhito,0.8
2020-06-20,Occhito,0.9
2020-06-21,Occhito,0.1
2020-06-22,Occhito,1.5
2020-06-23,Occhito,0.0
2020-06-24,Occhito,0.0
2020-06-25,Occhito,0.0
2020-06-26,Occhito,0.0
2020-06-27,Occhito,0.0
2020-06-28,Occhito,0.0
2020-06-29,Occhito,0.1
2020-06-30,Occhito,0.4
2020-07-01,Occhito,0.0
2020-07-02,Occhito,0.7
2020-07-03,Occhito,0.2
2020-07-04,Occhito,9.2
2020-07-05,Occhito,0.0
2020-07-06,Occhito,0.0
2020-07-07,Occhito,0.0
2020-07-08,Occhito,0.0
2020-07-09,Occhito,0.0
2020-07-10,Occhito,0.0
2020-07-11,Occhito,0.1
2020-07-12,Occhito,0.0
2020-07-13,Occhito,0.0
2020-07-14,Occhito,0.0
2020-07-15,Occhito,0.3
2020-07-16,Occhito,1.3
2020-07-17,Occhito,4.7
2020-07-18,Occhito,0.9
2020-07-19,Occhito,0.0
2020-07-20,Occhito,0.0
2020-07-21,Occhito,0.0
2020-07-22,Occhito,0.0
2020-07-23,Occhito,0.0
2020-07-24,Occhito,0.0
2020-07-25,Occhito,2.4
2020-07-26,Occhito,0.0
2020-07-27,Occhito,0.0
2020-07-28,Occhito,0.0
2020-07-29,Occhito,0.0
2020-07-30,Occhito,0.0
2020-07-31,Occhito,0.1
2020-08-01,Occhito,0.1
2020-08-02,Occhito,0.0
2020-08-03,Occhito,0.0
2020-08-04,Occhito,0.0
2020-08-05,Occhito,9.3
2020-08-06,Occhito,1.4
2020-08-07,Occhito,5.5
2020-08-08,Occhito,4.0
2020-08-09,Occhito,0.0
2020-08-10,Occhito,0.0
2020-08-11,Occhito,0.0
2020-08-12,Occhito,0.0
2020-08-13,Occhito,0.0
2020-08-14,Occhito,0.0
2020-08-15,Occhito,0.7
2020-08-16,Occhito,0.2
2020-08-17,Occhito,0.3
2020-08-18,Occhito,4.6
2020-08-19,Occhito,1.5
2020-08-20,Occhito,0.0
2020-08-21,Occhito,0.0
2020-08-22,Occhito,0.0
2020-08-23,Occhito,0.0
2020-08-24,Occhito,2.2
2020-08-25,Occhito,1.3
2020-08-26,Occhito,0.0
2020-08-27,Occhito,0.0
2020-08-28,Occhito,0.0
2020-08-29,Occhito,0.0
2020-08-30,Occhito,0.0
2020-08-31,Occhito,2.1
2020-09-01,Occhito,0.0
2020-09-02,Occhito,0.1
2020-09-03,Occhito,8.9
2020-09-04,Occhito,0.0
2020-09-05,Occhito,0.0
2020-09-06,Occhito,0.0
2020-09-07,Occhito,0.1
2020-09-08,Occhito,0.0
2020-09-09,Occhito,0.0
2020-09-10,Occhito,0.0
