date,dam,level_m,capacity_m3,level_raw,capacity_raw
2018-01-23,Capaccio,141.48,5268000,"141,48",5.268.000
2018-01-23,Capacciotti,174.25,12785200,"174,25",12.785.200
2018-01-23,Occhito,180.04,78346440,"180,04",78.346.440
2018-01-23,Osento,428.5,-1,"428,50",-1
2018-01-24,Capaccio,141.5,5300000,"141,50",5.300.000
2018-01-24,Capacciotti,174.35,12923400,"174,35",12.923.400
2018-01-24,Occhito,180.05,78444800,"180,05",78.444.800
2018-01-24,Osento,438.55,1845000,"438,55",1.845.000
2018-01-25,Capaccio,141.51,5316000,"141,51",5.316.000
2018-01-25,Capacciotti,174.35,12923400,"174,35",12.923.400
2018-01-25,Occhito,180.06,78543160,"180,06",78.543.160
2018-01-25,Osento,438.55,1845000,"438,55",1.845.000
2018-01-26,Capaccio,141.53,5348000,"141,53",5.348.000
2018-01-26,Capacciotti,174.4,12992500,"174,40",12.992.500
2018-01-26,Occhito,180.07,78641520,"180,07",78.641.520
2018-01-26,Osento,438.6,1860000,"438,60",1.860.000
2018-01-27,Capaccio,141.55,5380000,"141,55",5.380.000
2018-01-27,Capacciotti,174.4,12992500,"174,40",12.992.500
2018-01-27,Occhito,180.08,78739880,"180,08",78.739.880
2018-01-27,Osento,438.6,1860000,"438,60",1.860.000
2018-01-28,Capaccio,141.56,5396000,"141,56",5.396.000
2018-01-28,Capacciotti,174.45,13061600,"174,45",13.061.600
2018-01-28,Occhito,180.1,78936600,"180,10",78.936.600
2018-01-28,Osento,438.6,1860000,"438,60",1.860.000
2018-01-29,Capaccio,141.57,5412000,"141,57",5.412.000
2018-01-29,Capacciotti,174.5,13130700,"174,50",13.130.700
2018-01-29,Occhito,180.1,78936600,"180,10",78.936.600
2018-01-29,Osento,438.6,1860000,"438,60",1.860.000
2018-01-30,Capaccio,141.58,5428000,"141,58",5.428.000
2018-01-30,Capacciotti,174.55,13199800,"174,55",13.199.800
2018-01-30,Occhito,180.1,78936600,"180,10",78.936.600
2018-01-30,Osento,438.6,1860000,"438,60",1.860.000
2018-01-31,Capaccio,141.6,5460000,"141,60",5.460.000
2018-01-31,Capacciotti,174.6,13268900,"174,60",13.268.900
2018-01-31,Occhito,180.1,78936600,"180,10",78.936.600
2018-01-31,Osento,438.6,1860000,"438,60",1.860.000
2018-02-01,Capaccio,141.61,5476000,"141,61",5.476.000
2018-02-01,Capacciotti,174.65,13338000,"174,65",13.338.000
2018-02-01,Occhito,180.1,78936600,"180,10",78.936.600
2018-02-01,Osento,438.65,1875000,"438,65",1.875.000
2018-02-02,Capaccio,141.62,5492000,"141,62",5.492.000
2018-02-02,Capacciotti,174.7,13407100,"174,70",13.407.100
2018-02-02,Occhito,180.1,78936600,"180,10",78.936.600
2018-02-02,Osento,438.65,1875000,"438,65",1.875.000
2018-02-03,Capaccio,141.64,5524000,"141,64",5.524.000
2018-02-03,Capacciotti,174.75,13476200,"174,75",13.476.200
2018-02-03,Occhito,180.12,79133320,"180,12",79.133.320
2018-02-03,Osento,438.7,1890000,"438,70",1.890.000
2018-02-04,Capaccio,141.85,5860000,"141,85",5.860.000
2018-02-04,Capacciotti,174.95,13752600,"174,95",13.752.600
2018-02-04,Occhito,180.58,83657880,"180,58",83.657.880
2018-02-04,Osento,438.8,1920000,"438,80",1.920.000
2018-02-05,Capaccio,141.94,6004000,"141,94",6.004.000
2018-02-05,Capacciotti,175.2,14098800,"175,20",14.098.800
2018-02-05,Occhito,180.7,84838200,"180,70",84.838.200
2018-02-05,Osento,438.9,1950000,"438,90",1.950.000
2018-02-06,Capaccio,141.99,6084000,"141,99",6.084.000
